Date,Price,Volume
2018-06-18,6734.82,4039200000.00
2018-06-19,6769.94,4057029888.00
2018-06-20,6776.55,3888640000.00
2018-06-21,6729.74,3529129984.00
2018-06-22,6083.69,5079810048.00
2018-06-23,6162.48,3431360000.00
2018-06-24,6173.23,4566909952.00
2018-06-25,6249.18,5500810240.00
2018-06-26,6093.67,3279759872.00
2018-06-27,6157.13,3296219904.00
2018-06-28,5903.44,3467800064.00
2018-06-29,6218.30,3966230016.00
2018-06-30,6404.00,4543860224.00
2018-07-01,6385.82,4788259840.00
2018-07-02,6614.18,4396930048.00
2018-07-03,6529.59,4672309760.00
2018-07-04,6597.55,4176689920.00
2018-07-05,6639.14,4999240192.00
2018-07-06,6673.50,4313959936.00
2018-07-07,6856.93,3961080064.00
2018-07-08,6773.88,3386210048.00
2018-07-09,6741.75,3718129920.00
2018-07-10,6329.95,4052430080.00
2018-07-11,6394.71,3644859904.00
2018-07-12,6228.81,3770170112.00
2018-07-13,6238.05,3805400064.00
2018-07-14,6276.12,2923670016.00
2018-07-15,6359.64,3285459968.00
2018-07-16,6741.75,4725799936.00
2018-07-17,7321.04,5961950208.00
2018-07-18,7370.78,6103410176.00
2018-07-19,7466.86,5111629824.00
2018-07-20,7354.13,4936869888.00
2018-07-21,7419.29,3726609920.00
2018-07-22,7418.49,3695460096.00
2018-07-23,7711.11,5132480000.00
2018-07-24,8424.27,7277689856.00
2018-07-25,8181.39,5845400064.00
2018-07-26,7951.58,4899089920.00
2018-07-27,8165.01,5195879936.00
2018-07-28,8192.15,3988750080.00
2018-07-29,8218.46,4107190016.00
2018-07-30,8180.48,5551400000.00
2018-07-31,7780.44,5287530000.00
2018-08-01,7624.91,4797620000.00
2018-08-02,7567.15,4214110000.00
2018-08-03,7434.39,4627150000.00
2018-08-04,7032.85,4268390000.00
2018-08-05,7068.48,3679110000.00
2018-08-06,6951.80,3925900000.00
2018-08-07,6753.12,4682800000.00
2018-08-08,6305.80,5064430000.00
2018-08-09,6568.23,4267040000.00
2018-08-10,6184.71,4528680000.00
2018-08-11,6295.73,4047850000.00
2018-08-12,6322.69,5665250000.00
2018-08-13,6297.57,4083980000.00
2018-08-14,6199.71,5301700000.00
2018-08-15,6308.52,4895450000.00
2018-08-16,6334.73,4328420000.00
2018-08-17,6580.63,4992990000.00
2018-08-18,6423.76,3984520000.00
2018-08-19,6506.07,3311170000.00
2018-08-20,6308.53,3665100000.00
2018-08-21,6488.76,3377180000.00
2018-08-22,6376.71,4668110000.00
2018-08-23,6534.88,3426180000.00
2018-08-24,6719.96,4097820000.00
2018-08-25,6763.19,3312600000.00
2018-08-26,6707.26,3295500000.00
2018-08-27,6884.64,4019000000.00
2018-08-28,7096.28,4659940000.00
2018-08-29,7047.16,4145880000.00
2018-08-30,6978.23,4463250000.00
2018-08-31,7037.58,4495650000.00
2018-09-01,7193.25,4116050000.00
2018-09-02,7272.72,4329540000.00
2018-09-03,7260.06,4087760000.00
2018-09-04,7361.66,4273640000.00
2018-09-05,6792.83,5800460000.00
2018-09-06,6529.17,5523470000.00
2018-09-07,6467.07,4264680000.00
2018-09-08,6225.98,3835060000.00
2018-09-09,6300.86,3671890000.00
2018-09-10,6329.70,3714100000.00
2018-09-11,6321.20,3849910000.00
2018-09-12,6351.80,4064230000.00
2018-09-13,6517.31,4210910000.00
2018-09-14,6512.71,4076220000.00
2018-09-15,6543.20,3216300000.00
2018-09-16,6517.18,3273730000.00
2018-09-17,6281.20,3910780000.00
2018-09-18,6371.30,4180090000.00
2018-09-19,6398.54,4431340000.00
2018-09-20,6519.67,4348110000.00
2018-09-21,6734.95,6531940000.00
2018-09-22,6721.98,4509660000.00
2018-09-23,6710.63,4197500000.00
2018-09-24,6595.41,4177310000.00
2018-09-25,6446.47,4726180000.00
2018-09-26,6495.00,4437300000.00
2018-09-27,6676.75,4606810000.00
2018-09-28,6644.13,5014430000.00
2018-09-29,6601.96,4363690000.00
2018-09-30,6625.56,4002280000.00
2018-10-01,6589.62,4000970000.00
2018-10-02,6556.10,3979260000.00
2018-10-03,6502.59,3887310000.00
2018-10-04,6576.69,3838410000.00
2018-10-05,6622.48,3671500000.00
2018-10-06,6588.31,3259740000.00
2018-10-07,6602.95,3306630000.00
2018-10-08,6652.23,3979460000.00
2018-10-09,6642.64,3580810000.00
2018-10-10,6585.53,3787650000.00
2018-10-11,6256.24,5181640000.00
2018-10-12,6274.58,3783500000.00
2018-10-13,6285.99,3064030000.00
2018-10-14,6290.93,3085320000.00
2018-10-15,6596.54,7370770000.00
2018-10-16,6596.11,4074800000.00
2018-10-17,6544.43,4088420000.00
2018-10-18,6476.71,3924080000.00
2018-10-19,6465.41,3578870000.00
2018-10-20,6489.19,3379130000.00
2018-10-21,6482.35,3253610000.00
2018-10-22,6487.16,3672860000.00
2018-10-23,6475.74,3716150000.00
2018-10-24,6495.84,3424670000.00
2018-10-25,6476.29,3230550000.00
2018-10-26,6474.75,3306050000.00
2018-10-27,6480.38,3393250000.00
2018-10-28,6486.39,3445190000.00
2018-10-29,6332.63,4199910000.00
2018-10-30,6334.27,3781100000.00
2018-10-31,6317.61,4191240000.00
2018-11-01,6377.78,3789400000.00
2018-11-02,6388.44,4234870000.00
2018-11-03,6361.26,3658640000.00
2018-11-04,6376.13,4390020000.00
2018-11-05,6419.66,4174800000.00
2018-11-06,6461.01,4700040000.00
2018-11-07,6530.14,4941260000.00
2018-11-08,6453.72,4665260000.00
2018-11-09,6385.62,4346820000.00
2018-11-10,6409.22,3705320000.00
2018-11-11,6411.27,3939060000.00
2018-11-12,6371.27,4295770000.00
2018-11-13,6359.49,4503800000.00
2018-11-14,5738.35,7398940000.00
2018-11-15,5648.03,7032140000.00
2018-11-16,5575.55,5279320000.00
2018-11-17,5554.33,4303150000.00
2018-11-18,5623.54,4159680000.00
2018-11-19,4871.49,7039560000.00
2018-11-20,4451.87,8428290000.00
2018-11-21,4602.17,6120120000.00
2018-11-22,4365.94,4569370000.00
2018-11-23,4347.11,4871490000.00
2018-11-24,3880.76,4679500000.00
2018-11-25,4009.97,6825640000.00
2018-11-26,3779.13,6476900000.00
2018-11-27,3820.72,5998720000.00
2018-11-28,4257.42,7280280000.00
2018-11-29,4278.85,6503347767.19
2018-11-30,4017.27,6048016716.85
2018-12-01,4214.67,5375314093.10
2018-12-02,4139.88,5262697895.12
2018-12-03,3894.13,5089570993.52
2018-12-04,3956.89,5028069239.31
2018-12-05,3753.99,5302481573.52
2018-12-06,3521.10,5878333109.03
2018-12-07,3419.94,6835615448.40
2018-12-08,3476.11,5305024497.06
2018-12-09,3614.23,4947372847.28
2018-12-10,3502.66,5020968740.04
2018-12-11,3424.59,4696765187.88
2018-12-12,3486.95,4139364828.95
2018-12-13,3313.68,4343372456.25
2018-12-14,3242.48,4372763663.29
2018-12-15,3236.76,3551763561.38
2018-12-16,3252.84,3744248994.38
2018-12-17,3545.86,5409247918.12
2018-12-18,3696.06,5911325472.51
2018-12-19,3745.95,6810689118.78
2018-12-20,4134.44,8927129279.05
2018-12-21,3896.54,7206015706.48
2018-12-22,4014.18,5605823232.54
2018-12-23,3998.98,6151275489.92
2018-12-24,4078.60,7240968501.11
2018-12-25,3815.49,6158207293.44
2018-12-26,3857.30,5326547918.24
2018-12-27,3654.83,5130222366.47
